Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
410400,16.59,16.59,0.47645,30,200000,0,0,735000,188500,24.815773,50
414000,16.46,16.46,0.47645,30,200000,0,0,588000,176200,24.763298,50
417600,16.49,16.49,0.47645,30,200000,0,0,441000,176500,24.654919,50
421200,16.01,16.01,0.47645,30,200000,0,0,352800,179200,24.414825,50
424800,15.77,15.77,0.47645,30,200000,0,0,264600,168700,24.3174,50
428400,15.75,15.75,0.47645,30,200000,0,0,176400,175100,24.295832,50
432000,15.69,15.69,0.47645,30,200000,0,0,176400,176000,24.215036,50
435600,15.35,15.35,0.47645,30,200000,0,0,170520,162000,24.029432,50
439200,14.77,14.77,0.47645,30,200000,0,0,164640,171400,23.85484,50
442800,14.37,14.37,0.47645,30,200000,0,0,158760,163300,23.764656,50
446400,13.99,13.99,0.47645,30,200000,0,0,152880,162800,23.719315,50
450000,13.79,13.79,0.47645,30,200000,0,0,152880,166400,23.70775,50
453600,13.78,13.78,0.47645,30,200000,0,0,147000,162400,23.717464,50
457200,14.11,14.11,0.47645,30,200000,0,0,294000,163300,23.778286,50
460800,14.69,14.69,0.47645,30,200000,0,0,441000,159300,23.837534,50
464400,14.43,14.43,0.47645,30,200000,0,0,646800,162700,23.809944,50
468000,14.54,14.54,0.47645,30,200000,0,0,882000,167400,23.876404,50
471600,15.05,15.05,0.47645,30,200000,0,0,1029000,191700,24.175423,50
475200,16.24,16.24,0.47645,30,200000,0,0,1176000,189700,24.74672,50
478800,16.89,16.89,0.47645,30,200000,0,0,1234800,185400,25.117517,50
482400,17.08,17.08,0.47645,30,200000,0,0,1234800,191800,24.621971,50
486000,14.73,14.73,0.47645,30,200000,0,0,1176000,178200,23.863087,50
489600,14.15,14.15,0.47645,30,200000,0,0,1029000,179100,23.725662,50
493200,13.5,13.5,0.47645,30,200000,0,0,882000,187500,23.699598,50
496800,13.52,13.52,0.47645,30,200000,0,0,735000,180300,23.699411,50
500400,13.53,13.53,0.47645,30,200000,0,0,588000,176100,23.70619,50
504000,13.12,13.12,0.47645,30,200000,0,0,441000,172100,23.736467,50
507600,12.69,12.69,0.47645,30,200000,0,0,352800,177800,23.792427,50
511200,12.49,12.49,0.47645,30,200000,0,0,264600,177100,23.845016,50
514800,12.22,12.22,0.47645,30,200000,0,0,176400,183700,23.908604,50
518400,12.06,12.06,0.47645,30,200000,0,0,176400,181100,23.953478,50
522000,11.96,11.96,0.47645,30,200000,0,0,173460,165700,23.98178,50
525600,11.91,11.91,0.47645,30,200000,0,0,170520,163900,24.006735,50
529200,11.8,11.8,0.47645,30,200000,0,0,167580,163400,24.042282,50
532800,11.73,11.73,0.47645,30,200000,0,0,164640,159300,24.101377,50
536400,11.44,11.44,0.47645,30,200000,0,0,164640,152500,24.181484,50
540000,11.42,11.42,0.47645,30,200000,0,0,158760,145100,24.157948,50
543600,11.63,11.63,0.47645,30,200000,0,0,155820,133000,24.048407,50
547200,12.03,12.03,0.47645,30,200000,0,0,188160,132300,23.961649,50
550800,11.98,11.98,0.47645,30,200000,0,0,220500,132700,23.930523,50
554400,12.32,12.32,0.47645,30,200000,0,0,252840,157000,23.86375,50
558000,12.36,12.36,0.47645,30,200000,0,0,285180,176400,23.834108,50
561600,12.6,12.6,0.47645,30,200000,0,0,317520,170300,23.758724,50
565200,13.3,13.3,0.47645,30,200000,0,0,349860,166800,23.703331,50
568800,13.56,13.56,0.47645,30,200000,0,0,364560,164700,23.699333,50
572400,13.56,13.56,0.47645,30,200000,0,0,379260,163600,23.701408,50
576000,13.76,13.76,0.47645,30,200000,0,0,393960,161000,23.710281,50
579600,13.03,13.03,0.47645,30,200000,0,0,408660,168900,23.747187,50
583200,12.62,12.62,0.47645,30,200000,0,0,370440,162600,23.82369,50
586800,12.23,12.23,0.47645,30,200000,0,0,332220,167700,23.934544,50
590400,11.81,11.81,0.47645,30,200000,0,0,294000,165800,24.046623,50
594000,11.66,11.66,0.47645,30,200000,0,0,255780,161600,24.075613,50
597600,11.74,11.74,0.47645,30,200000,0,0,217560,165800,24.053057,50
601200,11.77,11.77,0.47645,30,200000,0,0,176400,167300,24.022013,50
